id,title,category,issuer_type,min_duration,max_duration,allowed_realms,base_success_qi,base_success_foundation,base_success_core,base_success_nascent,reward_stone_per_month_qi,reward_stone_per_month_foundation,reward_stone_per_month_core,reward_stone_per_month_nascent,reward_contribution_per_month_qi,reward_contribution_per_month_foundation,reward_contribution_per_month_core,reward_contribution_per_month_nascent,fail_damage_ratio_qi,fail_damage_ratio_foundation,fail_damage_ratio_core,fail_damage_ratio_nascent,weight
,任务标题,任务类别,发布来源,最短月数,最长月数,允许境界,练气基础成功率,筑基基础成功率,金丹基础成功率,元婴基础成功率,练气每月灵石,筑基每月灵石,金丹每月灵石,元婴每月灵石,练气每月贡献,筑基每月贡献,金丹每月贡献,元婴每月贡献,练气失败扣血比例,筑基失败扣血比例,金丹失败扣血比例,元婴失败扣血比例,权重
sect_task_patrol_gate,巡逻山门,patrol,both,3,9,QI_REFINEMENT;FOUNDATION_ESTABLISHMENT,0.82,0.92,0,0,14,22,0,0,4,5,0,0,0.20,0.14,0,0,1.2
sect_task_watch_storehouse,值守库房,guard,both,3,9,QI_REFINEMENT;FOUNDATION_ESTABLISHMENT,0.86,0.93,0,0,13,21,0,0,4,5,0,0,0.16,0.12,0,0,1.0
sect_task_tend_herb_garden,看护药圃,errand,both,3,9,QI_REFINEMENT;FOUNDATION_ESTABLISHMENT,0.88,0.94,0,0,15,23,0,0,4,5,0,0,0.15,0.10,0,0,1.0
sect_task_assist_deacon,协助执事,assist,member_request,3,9,QI_REFINEMENT;FOUNDATION_ESTABLISHMENT,0.80,0.91,0,0,16,24,0,0,4,6,0,0,0.18,0.13,0,0,0.9
sect_task_clean_training_grounds,清扫演武场禁制残痕,errand,headquarter,3,8,QI_REFINEMENT;FOUNDATION_ESTABLISHMENT,0.90,0.95,0,0,14,22,0,0,4,5,0,0,0.14,0.10,0,0,0.9
sect_task_watch_reception_platform,看守接引台,guard,both,3,9,QI_REFINEMENT;FOUNDATION_ESTABLISHMENT,0.87,0.94,0,0,13,21,0,0,4,5,0,0,0.16,0.11,0,0,0.9
sect_task_sort_low_tier_scrolls,整理低阶藏书,archive,headquarter,3,8,QI_REFINEMENT;FOUNDATION_ESTABLISHMENT,0.91,0.95,0,0,15,23,0,0,4,5,0,0,0.13,0.09,0,0,0.8
sect_task_count_outer_supplies,清点外门物资,logistics,both,3,9,QI_REFINEMENT;FOUNDATION_ESTABLISHMENT,0.88,0.94,0,0,14,22,0,0,4,5,0,0,0.15,0.10,0,0,0.9
sect_task_maintain_irrigation_channels,养护灵田水渠,errand,both,3,9,QI_REFINEMENT;FOUNDATION_ESTABLISHMENT,0.89,0.94,0,0,15,23,0,0,4,5,0,0,0.15,0.10,0,0,0.9
sect_task_feed_spirit_beasts,喂养低阶灵兽,beast,both,3,8,QI_REFINEMENT;FOUNDATION_ESTABLISHMENT,0.86,0.93,0,0,15,23,0,0,4,5,0,0,0.17,0.12,0,0,0.9
sect_task_register_new_disciples,协助新弟子入门登记,assist,member_request,3,8,QI_REFINEMENT;FOUNDATION_ESTABLISHMENT,0.88,0.94,0,0,16,24,0,0,5,6,0,0,0.15,0.10,0,0,0.8
sect_task_search_lost_tokens,查找遗失令牌,investigate,member_request,3,8,QI_REFINEMENT;FOUNDATION_ESTABLISHMENT,0.84,0.92,0,0,16,24,0,0,5,6,0,0,0.18,0.13,0,0,0.8
sect_task_calm_spirit_beast,处理灵兽骚动,investigate,both,3,9,FOUNDATION_ESTABLISHMENT;CORE_FORMATION,0,0.78,0.89,0,0,26,36,0,0,6,8,0,0,0.24,0.18,0,0.9
sect_task_escort_supplies,护送内务物资,escort,both,3,9,FOUNDATION_ESTABLISHMENT;CORE_FORMATION,0,0.81,0.90,0,0,24,34,0,0,6,8,0,0,0.22,0.16,0,1.0
sect_task_receive_returnees,接应归山弟子,assist,member_request,3,9,FOUNDATION_ESTABLISHMENT;CORE_FORMATION,0,0.84,0.91,0,0,22,33,0,0,5,8,0,0,0.18,0.14,0,0.8
sect_task_maintain_array_node,护持阵眼,array,both,3,9,FOUNDATION_ESTABLISHMENT;CORE_FORMATION,0,0.74,0.88,0,0,28,40,0,0,7,9,0,0,0.28,0.20,0,1.0
sect_task_patrol_restriction_barrier,巡查山门禁制,patrol,both,3,9,FOUNDATION_ESTABLISHMENT;CORE_FORMATION,0,0.82,0.90,0,0,24,34,0,0,6,8,0,0,0.21,0.16,0,0.9
sect_task_guard_pill_hall,守卫丹房重地,guard,headquarter,3,9,FOUNDATION_ESTABLISHMENT;CORE_FORMATION,0,0.80,0.90,0,0,25,35,0,0,6,8,0,0,0.22,0.16,0,0.9
sect_task_escort_message_jade,护送传讯玉简,escort,headquarter,3,8,FOUNDATION_ESTABLISHMENT;CORE_FORMATION,0,0.85,0.92,0,0,25,36,0,0,6,8,0,0,0.18,0.14,0,0.8
sect_task_mediate_disciple_dispute,调解同门争执,assist,member_request,3,8,FOUNDATION_ESTABLISHMENT;CORE_FORMATION,0,0.83,0.91,0,0,24,35,0,0,7,8,0,0,0.17,0.13,0,0.8
sect_task_inspect_market_order,查验附属坊市秩序,investigate,both,3,9,FOUNDATION_ESTABLISHMENT;CORE_FORMATION,0,0.79,0.89,0,0,26,36,0,0,6,8,0,0,0.23,0.17,0,0.9
sect_task_search_missing_outer_disciple,搜寻失联外门弟子,investigate,member_request,3,9,FOUNDATION_ESTABLISHMENT;CORE_FORMATION,0,0.77,0.88,0,0,27,38,0,0,7,9,0,0,0.25,0.18,0,0.8
