given_name,gender,sect_id,cond
Given Name,"Gender(0=Female,1=Male)",Sect ID,Condition
Xiaoyao,1,,
Wuji,1,,
Tianxing,1,,
Lingyun,1,,
Poxiao,1,,
Zhanfeng,1,,
Yufeng,1,,
Zhuixing,1,,
Jingtian,1,,
Qingyuan,1,,
Xuanji,1,,
Tianjiao,1,,
Wushuang,1,,
Jinghong,1,,
Juechen,1,,
Aotian,1,,
Jianxin,1,,
Fenghua,1,,
Wuchen,1,,
Tianqi,1,,
Moran,1,,
Lingxiao,1,,
Tianyu,1,,
Xingchen,1,,
Feixue,1,,
Youming,1,,
Tianlai,1,,
Pojun,1,,
Shenwei,1,,
Wuhen,1,,
Tiance,1,,
Jianhun,1,,
Fengliu,1,,
Jueshi,1,,
Tianming,1,,
Fuyao,1,,
Aogu,1,,
Xinghe,1,,
Tianji,1,,
Fengyun,1,,
Tiancheng,1,,
Wuyou,1,,
Pokong,1,,
Lingbo,1,,
Tianya,1,,
Fengchen,1,,
Xuanling,1,,
Tianque,1,,
Yuanheng,1,,
Jianchen,1,,
Yunxiao,1,,
Qingxuan,1,,
Xuanxiao,1,,
Canglan,1,,
Duanchen,1,,
Qingchen,1,,
Chengying,1,,
Hanyue,1,,
Chenxu,1,,
Pozhen,1,,
Beichen,1,,
Nandou,1,,
Qingming,1,,
Taixu,1,,
Xuankong,1,,
Changsheng,1,,
Hanchuan,1,,
Hanxing,1,,
Jinglei,1,,
Cangqiong,1,,
Chenyuan,1,,
Chixiao,1,,
Yanting,1,,
Zhushuang,1,,
Xiaoyue,1,,
Zhufeng,1,,
Qingqiong,1,,
Xuanshuang,1,,
Baiyu,1,,
Qingyu,1,,
Zixiao,1,,
Yunheng,1,,
Xingheng,1,,
Canghai,1,,
Tingxiao,1,,
Qingtian,1,,
Guchuan,1,,
Guhong,1,,
Mobai,1,,
Qingyue,1,,
Qinglin,1,,
Yufeng,1,,
Zhonglou,1,,
Hanzhou,1,,
Xinglan,1,,
Ziling,1,,
