last_name,sect_id,cond
Surname,Sect ID,Condition
Sima,,
Murong,,
Shangguan,,
Dugu,,
Dongfang,,
Nangong,,
Ximen,,
Beiming,,
Ouyang,,
Xiahou,,
Linghu,,
Zhuge,,
Huangfu,,
Gongsun,,
Xuanyuan,,
Baili,,
Huyan,,
Wenren,,
Zhangsun,,
Duangan,,
Yun,,
Ye,,
Ye,,
Feng,,
Shuang,,
Xue,,
Xing,,
Yue,,
Leng,,
Ling,,
Su,,
Lu,,
Xiao,,
Lin,,
Jun,,
Mo,,
Bai,,
Gu,,
Qin,,
Chu,,
Zhao,,
Tang,,
Han,,
Wei,,
Song,,
Qi,,
Yan,,
Jin,,
Chen,,
Li,,
Ming,1,
Xin,1,
Jian,1,
Xiao,1,
Xuan,1,
Ji,1,
Heng,1,
Gu,1,
Hui,1,
Su,1,
Shui,3,
Jing,3,
Han,3,
Qing,3,
Mu,3,
Lan,3,
Yuan,3,
Quan,3,
Ming,4,
Wang,4,
You,4,
Yu,4,
Yan,4,
Yin,4,
Zhu,5,
Fei,5,
Ren,5,
Lu,5,
Shi,5,
Jun,5,
Ya,5,
Yin,5,
He,6,
Huan,6,
Liu,6,
Hua,6,
Li,7,
Lu,7,
Zhen,7,
Hun,7,
Zhong,7,
Qing,7,
Yan,8,
Gui,8,
Gui,8,
Ying,8,
Mei,8,
Shang,9,
