last_name,sect_id,cond
姓氏,宗门ID(空=散修通用),条件(暂不用)
司马,,
慕容,,
上官,,
独孤,,
东方,,
南宫,,
西门,,
北冥,,
欧阳,,
夏侯,,
令狐,,
诸葛,,
皇甫,,
公孙,,
轩辕,,
百里,,
呼延,,
闻人,,
长孙,,
段干,,
云,,
叶,,
夜,,
风,,
霜,,
雪,,
星,,
月,,
冷,,
凌,,
苏,,
陆,,
萧,,
林,,
君,,
墨,,
白,,
顾,,
秦,,
楚,,
赵,,
唐,,
韩,,
魏,,
宋,,
齐,,
燕,,
晋,,
陈,,
李,,
明,1,
心,1,
剑,1,
霄,1,
玄,1,
霁,1,
衡,1,
孤,1,
徽,1,
肃,1,
水,3,
镜,3,
寒,3,
清,3,
沐,3,
澜,3,
渊,3,
泉,3,
冥,4,
王,4,
幽,4,
狱,4,
魇,4,
阴,4,
朱,5,
绯,5,
刃,5,
戮,5,
蚀,5,
钧,5,
鸦,5,
殷,5,
合,6,
欢,6,
柳,6,
花,6,
厉,7,
卢,7,
镇,7,
魂,7,
钟,7,
青,7,
阎,8,
鬼,8,
归,8,
应,8,
魅,8,
商,9,
