given_name,gender,sect_id,cond
名字,"性别(0=女,1=男)",宗门ID,条件
逍遥,1,,
无极,1,,
天行,1,,
凌云,1,,
破晓,1,,
斩风,1,,
御风,1,,
追星,1,,
景天,1,,
清源,1,,
玄机,1,,
天骄,1,,
无双,1,,
惊鸿,1,,
绝尘,1,,
傲天,1,,
剑心,1,,
风华,1,,
无尘,1,,
天启,1,,
墨染,1,,
凌霄,1,,
天羽,1,,
星辰,1,,
飞雪,1,,
幽冥,1,,
天籁,1,,
破军,1,,
神威,1,,
无痕,1,,
天策,1,,
剑魂,1,,
风流,1,,
绝世,1,,
天命,1,,
扶摇,1,,
傲骨,1,,
星河,1,,
天机,1,,
风云,1,,
天成,1,,
无忧,1,,
破空,1,,
凌波,1,,
天涯,1,,
风尘,1,,
玄凌,1,,
天阙,1,,
元衡,1,,
剑尘,1,,
云霄,1,,
青玄,1,,
玄霄,1,,
沧澜,1,,
断尘,1,,
清尘,1,,
承影,1,,
寒月,1,,
晨旭,1,,
破阵,1,,
北辰,1,,
南斗,1,,
青冥,1,,
太虚,1,,
玄空,1,,
长生,1,,
寒川,1,,
寒星,1,,
惊雷,1,,
苍穹,1,,
辰渊,1,,
赤霄,1,,
炎霆,1,,
逐霜,1,,
啸月,1,,
逐风,1,,
青穹,1,,
玄霜,1,,
白羽,1,,
青羽,1,,
紫霄,1,,
云衡,1,,
星衡,1,,
沧海,1,,
霆骁,1,,
擎天,1,,
孤川,1,,
孤鸿,1,,
墨白,1,,
清越,1,,
青霖,1,,
驭风,1,,
重楼,1,,
寒洲,1,,
星阑,1,,
子陵,1,,
元诚,1,,
行舟,1,,
凌寒,1,,
青霜,1,,
如雪,0,,
若梦,0,,
凝香,0,,
紫霞,0,,
月华,0,,
清音,0,,
蝶舞,0,,
花颜,0,,
雅韵,0,,
诗涵,0,,
静雯,0,,
慕蓉,0,,
婉儿,0,,
柔情,0,,
霓裳,0,,
晚颜,0,,
如烟,0,,
妙音,0,,
冰心,0,,
玉颜,0,,
如玉,0,,
清影,0,,
梦瑶,0,,
紫嫣,0,,
霜华,0,,
若水,0,,
青莲,0,,
雪儿,0,,
慧心,0,,
素衣,0,,
如意,0,,
诗雨,0,,
梦蝶,0,,
紫萱,0,,
冰莲,0,,
若兰,0,,
清雅,0,,
雪梅,0,,
慕雪,0,,
天音,0,,
如风,0,,
诗韵,0,,
梦云,0,,
紫烟,0,,
冰雪,0,,
若霜,0,,
清秋,0,,
雪莲,0,,
慕凝,0,,
天香,0,,
月影,0,,
青衣,0,,
素心,0,,
霜凝,0,,
清欢,0,,
暮雪,0,,
月灵,0,,
云岚,0,,
灵汐,0,,
冷月,0,,
冰瑶,0,,
玄月,0,,
