given_name,gender,sect_id,cond
名字,"性別(0=女,1=男)",宗門ID,條件
逍遙,1,,
無極,1,,
天行,1,,
凌雲,1,,
破曉,1,,
斬風,1,,
御風,1,,
追星,1,,
景天,1,,
清源,1,,
玄機,1,,
天驕,1,,
無雙,1,,
驚鴻,1,,
絕塵,1,,
傲天,1,,
劍心,1,,
風華,1,,
無塵,1,,
天啓,1,,
墨染,1,,
凌霄,1,,
天羽,1,,
星辰,1,,
飛雪,1,,
幽冥,1,,
天籟,1,,
破軍,1,,
神威,1,,
無痕,1,,
天策,1,,
劍魂,1,,
風流,1,,
絕世,1,,
天命,1,,
扶搖,1,,
傲骨,1,,
星河,1,,
天機,1,,
風雲,1,,
天成,1,,
無憂,1,,
破空,1,,
凌波,1,,
天涯,1,,
風塵,1,,
玄凌,1,,
天闕,1,,
元衡,1,,
劍塵,1,,
雲霄,1,,
青玄,1,,
玄霄,1,,
滄瀾,1,,
斷塵,1,,
清塵,1,,
承影,1,,
寒月,1,,
晨旭,1,,
破陣,1,,
北辰,1,,
南斗,1,,
青冥,1,,
太虛,1,,
玄空,1,,
長生,1,,
寒川,1,,
寒星,1,,
驚雷,1,,
蒼穹,1,,
辰淵,1,,
赤霄,1,,
炎霆,1,,
逐霜,1,,
嘯月,1,,
逐風,1,,
青穹,1,,
玄霜,1,,
白羽,1,,
青羽,1,,
紫霄,1,,
雲衡,1,,
星衡,1,,
滄海,1,,
霆驍,1,,
擎天,1,,
孤川,1,,
孤鴻,1,,
墨白,1,,
清越,1,,
青霖,1,,
馭風,1,,
重樓,1,,
寒洲,1,,
星闌,1,,
子陵,1,,
元誠,1,,
行舟,1,,
凌寒,1,,
青霜,1,,
如雪,0,,
若夢,0,,
凝香,0,,
紫霞,0,,
月華,0,,
清音,0,,
蝶舞,0,,
花顏,0,,
雅韻,0,,
詩涵,0,,
靜雯,0,,
慕蓉,0,,
婉兒,0,,
柔情,0,,
霓裳,0,,
晚顏,0,,
如煙,0,,
妙音,0,,
冰心,0,,
玉顏,0,,
如玉,0,,
清影,0,,
夢瑤,0,,
紫嫣,0,,
霜華,0,,
若水,0,,
青蓮,0,,
雪兒,0,,
慧心,0,,
素衣,0,,
如意,0,,
詩雨,0,,
夢蝶,0,,
紫萱,0,,
冰蓮,0,,
若蘭,0,,
清雅,0,,
雪梅,0,,
慕雪,0,,
天音,0,,
如風,0,,
詩韻,0,,
夢雲,0,,
紫煙,0,,
冰雪,0,,
若霜,0,,
清秋,0,,
雪蓮,0,,
慕凝,0,,
天香,0,,
月影,0,,
