last_name,sect_id,cond
姓氏,宗門ID(空=散修通用),條件(暫不用)
司馬,,
慕容,,
上官,,
獨孤,,
東方,,
南宮,,
西門,,
北冥,,
歐陽,,
夏侯,,
令狐,,
諸葛,,
皇甫,,
公孫,,
軒轅,,
百里,,
呼延,,
聞人,,
長孫,,
段幹,,
雲,,
葉,,
夜,,
風,,
霜,,
雪,,
星,,
月,,
冷,,
凌,,
蘇,,
陸,,
蕭,,
林,,
君,,
墨,,
白,,
顧,,
秦,,
楚,,
趙,,
唐,,
韓,,
魏,,
宋,,
齊,,
燕,,
晉,,
陳,,
李,,
明,1,
心,1,
劍,1,
霄,1,
玄,1,
霽,1,
衡,1,
孤,1,
徽,1,
肅,1,
水,3,
鏡,3,
寒,3,
清,3,
沐,3,
瀾,3,
淵,3,
泉,3,
冥,4,
王,4,
幽,4,
獄,4,
魘,4,
陰,4,
朱,5,
緋,5,
刃,5,
戮,5,
蝕,5,
鈞,5,
鴉,5,
殷,5,
合,6,
歡,6,
柳,6,
花,6,
厲,7,
盧,7,
鎮,7,
魂,7,
鍾,7,
青,7,
閻,8,
鬼,8,
歸,8,
應,8,
魅,8,
商,9,
